source_id,teff_gspphot,logg_gspphot,mg_gspphot,mh_gspphot,radius_gspphot,distance_gspphot,lum_flame,mass_flame,age_flame,evolstage_flame,ag_gspphot
2385171398768647552,5390.584,4.5333,5.4156,-0.1372,0.8197,198.2288,0.51323736,0.93166393,0.26973844,105,0.0604
2495335115182966016,5623.966,3.9845,3.7776,-0.2995,1.5957,37.8206,2.2685547,1.0161701,10.276442,449,1e-04
2528453161326406016,3097.703,5.0514,11.8621,-0.1911,0.218,56.0779,0.0038543253,,,,0.0006
2533185974768028032,5678.9673,4.2825,4.2612,-0.381,1.2507,528.2504,1.5535603,0.95825803,11.774559,388,0.0009
2616071555020488960,5674.143,4.3602,4.5293,-0.2138,1.1016,271.3193,1.1408381,0.9412904,10.640494,349,0.0065
2632278807386060288,3797.8484,4.6235,8.1639,-0.0399,0.6121,120.8309,0.07076329,0.5902662,9.701831,292,0.3456
2643842302456085888,4182.047,4.6513,7.4794,-0.0021,0.6293,29.5934,0.1093302,0.6432828,13.417763,250,0.0
2783854903410922496,4275.0356,4.522,6.8595,0.0067,0.7855,32.2313,0.18392342,,,360,1e-04
2862548428079638656,,,,,,,,,,,
2912264564319611136,5085.1646,4.5299,5.6701,0.1764,0.8356,129.6114,0.42388284,0.8038829,,337,0.0137
2966680597368750720,4663.2993,4.5291,6.6787,-1.4787,0.6586,166.9534,0.102029204,,,352,1.5685
2980392087185289216,5842.128,4.2584,3.9527,0.0672,1.3416,502.0583,1.914758,1.0259345,8.751969,388,0.0123
2992025233741516928,6101.3228,4.0701,3.4729,-0.2497,1.5431,54.2201,2.946971,1.214516,4.1754713,322,1e-04
3120002649138831360,5941.489,4.1219,3.4663,-0.4006,1.6396,798.3969,3.12404,1.1348962,6.341999,408,0.7893
3126717023056016256,5878.6655,4.1059,3.7333,-0.0674,1.4676,183.5232,2.3519883,1.0665321,7.8418384,401,0.0026
3188395880157173120,5774.3833,4.0082,3.5047,0.0443,1.691,26.3938,2.8118558,1.0846286,7.9033523,438,0.0005
3459372646830687104,,,,,,,,,,,
3578596339057980160,4397.4834,4.605,6.889,0.4877,0.7166,258.5524,0.18103525,,,360,0.436
3582706794559052160,4862.4893,4.4999,5.8779,-0.0189,0.853,406.3418,0.36458924,,,383,0.0389
